"","state","pollster","n","population","mode","start.date","end.date","biden","trump","undecided","other","begin","end","t","two_party_sum","polltype","n_respondents","n_biden","p_biden","n_trump","p_trump"
"1","--","ABC",700,"Likely Voters","Live phone component","2020-07-12","2020-07-15",54,44,0,NA,2020-07-12,2020-07-15,2020-07-13,98,"Likely Voters",700,378,0.551020408163265,308,0.448979591836735
"2","--","ABC",845,"Registered Voters","Live phone component","2020-07-12","2020-07-15",55,40,0,NA,2020-07-12,2020-07-15,2020-07-13,95,"Registered Voters",845,465,0.578947368421053,338,0.421052631578947
"3","AK","Alaska Survey Research",663,"Likely Voters","Live phone component","2020-06-23","2020-07-07",48,49,0,NA,2020-06-23,2020-07-07,2020-06-30,97,"Likely Voters",663,318,0.494845360824742,325,0.505154639175258
"4","--","UCLA Nationscape",4983,"Registered Voters","Other","2020-07-02","2020-07-08",49,41,0,NA,2020-07-02,2020-07-08,2020-07-05,90,"Registered Voters",4983,2442,0.544444444444444,2043,0.455555555555556
"5","--","UCLA Nationscape",5036,"Registered Voters","Other","2020-04-09","2020-04-15",48,43,0,NA,2020-04-09,2020-04-15,2020-04-12,91,"Registered Voters",5036,2417,0.527472527472527,2165,0.472527472527473
"6","KY","Garin",800,"Likely Voters","Other","2020-07-07","2020-07-12",41,53,0,NA,2020-07-07,2020-07-12,2020-07-09,94,"Likely Voters",800,328,0.436170212765957,424,0.563829787234043
"7","AZ","OH Predictive Insights",600,"Likely Voters","Live phone component","2020-07-06","2020-07-07",49,44,0,NA,2020-07-06,2020-07-07,2020-07-06,93,"Likely Voters",600,294,0.526881720430108,264,0.473118279569892
"8","--","Ipsos",961,"Registered Voters","Other","2020-07-13","2020-07-14",47,37,0,NA,2020-07-13,2020-07-14,2020-07-13,84,"Registered Voters",961,452,0.55952380952381,356,0.44047619047619
"9","--","NBC News",900,"Registered Voters","Live phone component","2020-07-09","2020-07-12",51,40,0,NA,2020-07-09,2020-07-12,2020-07-10,91,"Registered Voters",900,459,0.56043956043956,360,0.43956043956044
"10","--","Quinnipiac University",1273,"Registered Voters","Live phone component","2020-07-09","2020-07-13",52,37,0,NA,2020-07-09,2020-07-13,2020-07-11,89,"Registered Voters",1273,662,0.584269662921348,471,0.415730337078652
"11","--","YouGov",1081,"Registered Voters","Other","2020-07-11","2020-07-14",47,39,0,NA,2020-07-11,2020-07-14,2020-07-12,86,"Registered Voters",1081,508,0.546511627906977,422,0.453488372093023
"12","--","Pulse Opinion Research",2500,"Likely Voters","Other","2020-07-08","2020-07-14",47,44,0,NA,2020-07-08,2020-07-14,2020-07-11,91,"Likely Voters",2500,1175,0.516483516483517,1100,0.483516483516484
"13","PA","Monmouth University",401,"Likely Voters","Live phone component","2020-07-09","2020-07-13",52,43,2,3,2020-07-09,2020-07-13,2020-07-11,95,"Likely Voters",401,209,0.547368421052632,172,0.452631578947368
"14","--","YouGov",1252,"Registered Voters","Other","2020-07-12","2020-07-14",49,40,0,NA,2020-07-12,2020-07-14,2020-07-13,89,"Registered Voters",1252,613,0.550561797752809,501,0.449438202247191
"15","--","Morning Consult",32514,"Registered Voters","Other","2020-07-06","2020-07-13",47,39,0,NA,2020-07-06,2020-07-13,2020-07-09,86,"Registered Voters",32514,15282,0.546511627906977,12680,0.453488372093023
"16","WI","Change Research",601,"Likely Voters","Other","2020-07-10","2020-07-12",48,42,0,NA,2020-07-10,2020-07-12,2020-07-11,90,"Likely Voters",601,288,0.533333333333333,252,0.466666666666667
"17","PA","Change Research",743,"Likely Voters","Other","2020-07-10","2020-07-12",50,42,0,NA,2020-07-10,2020-07-12,2020-07-11,92,"Likely Voters",743,372,0.543478260869565,312,0.456521739130435
"18","NC","Change Research",655,"Likely Voters","Other","2020-07-10","2020-07-12",47,46,0,NA,2020-07-10,2020-07-12,2020-07-11,93,"Likely Voters",655,308,0.505376344086022,301,0.494623655913978
"19","MI","Change Research",824,"Likely Voters","Other","2020-07-10","2020-07-12",48,42,0,NA,2020-07-10,2020-07-12,2020-07-11,90,"Likely Voters",824,396,0.533333333333333,346,0.466666666666667
"20","FL","Change Research",1128,"Likely Voters","Other","2020-07-10","2020-07-12",50,43,0,NA,2020-07-10,2020-07-12,2020-07-11,93,"Likely Voters",1128,564,0.537634408602151,485,0.462365591397849
"21","AZ","Change Research",345,"Likely Voters","Other","2020-07-10","2020-07-12",51,45,0,NA,2020-07-10,2020-07-12,2020-07-11,96,"Likely Voters",345,176,0.53125,155,0.46875
